コード,銘柄名,市場,終値,前日比,スコア,流入開始,経過日,時価総額,蓄積,出来高質,収縮放れ,転換,乖離率,状態,初動,監視,スキャン日時
3154,メディアスホールディングス,プライム,791.0,-1.0,16.0,-,,176,0.0,0.0,0.0,16.0,-3.6,様子見,False,False,2026-07-12 14:51
3156,レスター,プライム,3730.0,-2.48,0.0,-,,1049,0.0,0.0,0.0,0.0,-12.3,様子見,False,False,2026-07-12 14:51
3167,ＴＯＫＡＩホールディングス,プライム,1149.0,-1.88,24.0,-,,1481,12.0,0.0,0.0,12.0,1.5,様子見,False,False,2026-07-12 14:51
3176,三洋貿易,プライム,815.0,0.25,19.0,-,,470,12.0,0.0,0.0,7.0,4.8,様子見,False,False,2026-07-12 14:51
3179,シュッピン,プライム,1066.0,-1.3,38.0,06/12,21.0,226,30.0,0.0,0.0,8.0,-1.4,蓄積+収縮 (監視推奨),False,True,2026-07-12 14:51
3180,ビューティガレージ,プライム,1428.0,1.13,28.0,-,,179,0.0,0.0,12.0,16.0,0.6,収縮中 (監視),False,False,2026-07-12 14:51
3182,オイシックス・ラ・大地,プライム,1509.0,-1.44,38.0,06/19,16.0,524,30.0,0.0,0.0,8.0,-0.2,様子見,False,False,2026-07-12 14:51
3183,ウイン・パートナーズ,プライム,1325.0,2.24,10.0,-,,364,0.0,18.0,0.0,7.0,7.1,過熱 (初動ではない),False,False,2026-07-12 14:51
3186,ネクステージ,プライム,3485.0,-3.33,10.0,07/07,4.0,2732,0.0,10.0,0.0,0.0,-9.6,様子見,False,False,2026-07-12 14:51
3191,ジョイフル本田,プライム,2242.0,-0.13,31.0,06/17,18.0,1351,22.0,0.0,0.0,9.0,1.3,様子見,False,False,2026-07-12 14:51
3193,エターナルホスピタリティグループ,プライム,2789.0,-1.62,41.0,06/29,10.0,322,22.0,4.0,0.0,15.0,2.3,様子見,False,False,2026-07-12 14:51
3196,ホットランドホールディングス,プライム,1590.0,-0.44,25.0,-,,412,0.0,0.0,0.0,25.0,-0.3,様子見,False,False,2026-07-12 14:51
3197,すかいらーくホールディングス,プライム,2896.0,-2.24,30.0,-,,6585,12.0,6.0,0.0,12.0,3.8,様子見,False,False,2026-07-12 14:51
3199,綿半ホールディングス,プライム,1360.0,0.15,15.0,-,,254,0.0,0.0,0.0,15.0,1.3,様子見,False,False,2026-07-12 14:51
3201,日本毛織,プライム,1850.0,0.49,2.8,07/07,4.0,1205,0.0,0.0,0.0,7.0,6.6,過熱 (初動ではない),False,False,2026-07-12 14:51
3221,ヨシックスホールディングス,プライム,3260.0,-0.46,76.0,07/07,4.0,334,30.0,7.0,20.0,19.0,2.6,初動の可能性,True,True,2026-07-12 14:51
3231,野村不動産ホールディングス,プライム,928.2,-0.9,8.0,-,,7929,0.0,0.0,0.0,8.0,-0.2,収縮中 (監視),False,False,2026-07-12 14:51
3232,三重交通グループホールディングス,プライム,547.0,-0.55,60.0,07/02,7.0,550,30.0,18.0,0.0,12.0,2.9,様子見,False,False,2026-07-12 14:51
3245,ディア・ライフ,プライム,1071.0,0.47,25.0,-,,539,12.0,6.0,0.0,7.0,6.0,様子見,False,False,2026-07-12 14:51
3252,地主,プライム,2918.0,0.24,68.0,06/29,10.0,603,30.0,0.0,20.0,18.0,2.1,初動の可能性,True,True,2026-07-12 14:51
3276,ＪＰＭＣ,プライム,1587.0,11.84,17.6,-,,265,12.0,25.0,0.0,7.0,21.1,過熱 (初動ではない),False,False,2026-07-12 14:51
3284,フージャースホールディングス,プライム,1234.0,0.73,11.0,-,,505,0.0,4.0,0.0,7.0,4.8,様子見,False,False,2026-07-12 14:51
3288,オープンハウスグループ,プライム,8550.0,-1.41,45.0,07/07,4.0,9443,0.0,11.0,12.0,22.0,0.6,収縮中 (監視),False,False,2026-07-12 14:51
3289,東急不動産ホールディングス,プライム,1299.0,-0.61,38.0,06/10,23.0,9258,30.0,0.0,0.0,8.0,-0.5,蓄積+収縮 (監視推奨),False,True,2026-07-12 14:51
3291,飯田グループホールディングス,プライム,2210.0,-0.34,38.0,06/15,20.0,6107,0.0,6.0,20.0,12.0,1.5,収縮中 (監視),False,False,2026-07-12 14:51
3302,帝国繊維,プライム,3445.0,1.17,37.0,07/06,5.0,883,12.0,4.0,12.0,9.0,2.5,収縮中 (監視),False,False,2026-07-12 14:51
3315,日本コークス工業,プライム,93.0,3.33,21.0,-,,271,0.0,7.0,0.0,14.0,-2.0,様子見,False,False,2026-07-12 14:51
3333,あさひ,プライム,1340.0,0.22,37.0,07/10,1.0,349,30.0,0.0,0.0,7.0,3.8,様子見,False,False,2026-07-12 14:51
3349,コスモス薬品,プライム,6362.0,-2.35,22.0,-,,5042,0.0,10.0,0.0,12.0,2.7,様子見,False,False,2026-07-12 14:51
3360,シップヘルスケアホールディングス,プライム,2266.0,-0.44,25.0,-,,2077,12.0,6.0,0.0,7.0,4.7,様子見,False,False,2026-07-12 14:51
3371,ソフトクリエイトホールディングス,プライム,1917.0,0.16,9.6,-,,488,17.0,0.0,0.0,7.0,10.2,過熱 (初動ではない),False,False,2026-07-12 14:51
3382,セブン＆アイ・ホールディングス,プライム,2021.5,-0.37,34.0,06/08,25.0,46732,0.0,22.0,0.0,12.0,3.4,様子見,False,False,2026-07-12 14:51
3387,クリエイト・レストランツ・ホールディングス,プライム,749.0,0.4,24.0,-,,3378,12.0,0.0,0.0,12.0,4.2,様子見,False,False,2026-07-12 14:51
3388,明治電機工業,プライム,2158.0,1.03,24.0,-,,272,0.0,0.0,12.0,12.0,2.7,収縮中 (監視),False,False,2026-07-12 14:51
3391,ツルハホールディングス,プライム,2257.0,-4.38,13.6,-,,10225,12.0,10.0,0.0,12.0,7.8,過熱 (初動ではない),False,False,2026-07-12 14:51
3393,スターティアホールディングス,プライム,3085.0,1.15,25.0,-,,288,12.0,6.0,0.0,7.0,3.9,様子見,False,False,2026-07-12 14:51
3395,サンマルクホールディングス,プライム,2532.0,-1.17,30.0,06/30,9.0,543,12.0,6.0,0.0,12.0,2.2,様子見,False,False,2026-07-12 14:51
3397,トリドールホールディングス,プライム,3968.0,-1.42,12.0,-,,3489,0.0,0.0,0.0,12.0,4.6,様子見,False,False,2026-07-12 14:51
3401,帝人,プライム,1662.5,-1.13,54.0,05/25,35.0,3207,22.0,0.0,20.0,12.0,1.1,蓄積+収縮 (監視推奨),False,True,2026-07-12 14:51
3402,東レ,プライム,1142.5,-0.31,20.0,06/26,11.0,16650,0.0,4.0,0.0,16.0,-0.6,収縮中 (監視),False,False,2026-07-12 14:51
3405,クラレ,プライム,1686.0,-0.3,21.0,07/08,3.0,5080,12.0,0.0,0.0,9.0,0.2,収縮中 (監視),False,False,2026-07-12 14:51
3407,旭化成,プライム,1842.0,-0.49,32.0,-,,24902,0.0,0.0,20.0,12.0,2.3,収縮中 (監視),False,False,2026-07-12 14:51
